"percentage_0","percentage_1_14","percentage_15_29","percentage_30_44","percentage_under45","percentage_45_59","percentage_60","percentage_over45","Region","cluster_label","urbanisation_degree","education_level","age_class","sex"
0.00,17.65,29.68,31.28,78.61,1.34,20.05,21.39,Latvia,Low-HO,Cities,ISCED 3–4,"50-74",female
4.53,3.30,52.18,33.34,93.35,0.43,6.22,6.65,Poland,Mid-HO,Total,ISCED 5–8,"50-74",female
2.96,55.56,27.97,7.36,93.85,2.45,3.70,6.15,Netherlands,High-HO,Total,ISCED 0–2,"15-34",female
5.77,18.83,29.98,21.08,75.66,10.59,13.75,24.34,Netherlands,High-HO,Total,All ISCED 2011 levels,"35-49",male
8.12,52.14,5.56,32.05,97.87,0.85,1.28,2.13,Croatia,Low-HO,Total,ISCED 3–4,"15-34",female
3.31,31.65,34.62,24.80,94.38,4.79,0.84,5.63,Türkiye,Low-HO,Total,ISCED 0–2,"35-49",male
4.32,21.87,43.39,24.60,94.18,0.00,5.82,5.82,Lithuania,Low-HO,Total,ISCED 3–4,"35-49",male
10.79,29.39,28.17,17.29,85.64,7.09,7.27,14.36,Croatia,Low-HO,Total,All ISCED 2011 levels,"50-74",female
11.42,20.29,26.31,19.56,77.58,7.53,14.88,22.41,Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,"35-49",male
1.84,51.95,30.71,11.92,96.42,3.13,0.45,3.58,Italy,Low-HO,Towns and suburbs,ISCED 3–4,"50-74",female
1.39,35.59,42.35,20.68,100.01,0.00,0.00,0.00,Denmark,High-HO,Total,ISCED 0–2,"50-74",female
8.73,27.21,23.49,17.37,76.80,6.43,16.77,23.20,Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
0.00,53.46,44.04,2.49,99.99,0.00,0.00,0.00,Austria,Mid-HO,Rural areas,ISCED 5–8,"50-74",female
0.00,5.93,53.58,25.71,85.22,9.04,5.74,14.78,Greece,Low-HO,Total,ISCED 5–8,"50-74",female
11.74,36.46,36.78,3.33,88.31,0.00,11.68,11.68,Germany,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",female
0.00,10.68,28.80,41.64,81.12,13.27,5.61,18.88,Hungary,Low-HO,Cities,ISCED 3–4,"15-34",female
6.87,27.04,6.15,40.63,80.69,19.31,0.00,19.31,Croatia,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
0.00,15.64,53.28,31.08,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
0.00,10.49,46.50,35.52,92.51,7.49,0.00,7.49,Romania,Low-HO,Cities,ISCED 3–4,"15-34",female
4.17,29.47,30.34,18.11,82.09,7.72,10.19,17.91,Netherlands,High-HO,Total,All ISCED 2011 levels,"15-34",male
0.00,10.39,35.42,41.80,87.61,11.01,1.38,12.39,Hungary,Low-HO,Cities,ISCED 5–8,"15-34",female
6.75,30.54,40.77,17.37,95.43,0.33,4.25,4.58,Czechia,Low-HO,Towns and suburbs,ISCED 3–4,"50-74",female
