Region;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;49,3;52,4;50,1;43,2;40,5;39,5;39,4;39,3;49,8;45,0
Bulgaria;200,3;196,4;209,7;196,8;189,4;179,0;169,3;176,7;156,8;134,1
Czechia;143,4;144,0;141,6;142,0;134,9;130,6;128,5;126,5;131,9;138,6
Denmark;60,5;56,6;52,6;55,1;56,5;52,8;50,0;53,9;50,7;40,5
Germany;511,3;496,1;486,8;474,8;463,6;458,4;458,6;472,5;453,2;420,8
Estonia;24,1;23,6;22,0;20,7;20,8;18,7;15,6;16,8;17,1;20,6
Ireland;89,2;90,9;88,8;82,7;80,7;78,6;81,0;79,4;79,4;77,8
Greece;435,9;423,9;422,1;437,9;419,4;377,4;408,7;424,9;441,9;429,4
Spain;724,8;760,9;806,3;797,9;781,6;747,7;798,2;775,2;740,7;727,5
France;686,0;724,8;661,5;636,1;638,1;596,6;647,9;673,4;663,2;642,3
Croatia;125,4;101,9;98,6;85,4;85,4;89,8;99,6;88,0;70,3;70,4
Italy;785,8;825,6;811,0;797,9;832,0;837,8;836,3;811,4;782,7;763,2
Cyprus;12,5;11,3;7,7;6,8;8,9;9,4;9,3;9,0;10,3;9,2
Latvia;67,1;65,5;59,5;60,9;63,9;61,8;55,1;56,7;56,2;57,3
Lithuania;114,8;101,2;96,5;92,8;82,7;71,6;67,5;72,0;67,7;66,4
Luxembourg;2,4;2,3;3,1;2,6;1,8;2,0;3,1;3,0;2,4;2,5
Hungary;202,7;214,9;217,7;212,3;206,5;203,2;193,1;193,6;197,7;190,1
Malta;2,6;2,2;1,9;2,1;2,4;2,7;2,1;2,2;2,9;2,3
Netherlands;161,9;166,0;161,7;151,4;154,5;151,6;191,6;164,5;164,4;155,3
Austria;161,4;159,6;144,5;140,6;142,2;151,4;144,2;140,1;126,0;112,1
Poland;1.792,8;1.654,8;1.609,6;1.516,7;1.448,8;1.514,0;1.343,0;1.323,4;1.265,1;1.069,2
Portugal;205,1;195,7;182,8;172,9;158,9;148,1;116,6;116,8;128,9;124,7
Romania;1.900,2;1.693,0;1.696,3;1.657,3;1.602,2;1.532,7;862,2;834,3;872,2;844,8
Slovenia;52,6;38,2;43,8;41,9;35,8;33,9;32,9;34,8;32,1;30,6
Slovakia;76,1;70,9;67,2;57,3;70,8;63,8;61,8;65,1;60,5;57,3
Finland;90,3;82,0;81,8;81,6;83,4;78,3;85,2;79,4;73,5;71,8
Sweden;79,1;77,7;74,5;72,7;65,7;62,8;66,2;70,9;65,3;66,2
Iceland;7,2;6,8;6,7;7,4;7,4;7,1;7,1;7,7;7,0;7,2
Norway;47,1;48,7;48,3;50,5;49,9;52,0;57,0;56,9;66,1;65,7
Switzerland;131,4;130,5;121,0;116,9;101,0;96,9;81,5;74,6;78,4;81,9
Serbia;425,5;424,2;404,3;372,8;366,0;334,7;312,4;311,3;287,1;271,7
Türkiye;4.898,7;4.785,0;4.912,9;4.736,6;4.534,2;4.222,5;4.369,5;4.232,8;4.047,7;4.109,8
