TIME;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;96,2;96,9;97;98,3;98,3;98,5;99,1;97,8;97,8;99,2
Bulgaria;68,4;71,3;74,5;75;79,8;87,6;92,1;93,9;95,1;96
Czechia;72,7;73,9;88,6;89,8;91,9;96,9;98,1;98,3;98,2;98,8
Denmark;92;93,3;94,6;95,3;96,4;97;97,7;98,4;98,8;98,7
Germany;76,7;80,7;84,1;87,9;92,2;94,7;95,9;94,2;96,1;96,7
Estonia;76,3;76,9;78,6;82,8;83,7;88,3;89,2;89,5;100;100
Ireland;69,5;77,2;87,5;88,8;89,7;90,1;90,1;97,2;100;100
Greece;33,2;44,9;48,6;61,3;79,7;86,8;96,6;96;97,5;97,5
Spain;76,6;80,8;85;88,2;91;92,3;96,2;96,7;96,2;97,8
France;41,3;50;55,5;58,3;62;64,8;74,4;81,6;86,5;90,9
Croatia;49,1;52,3;60,3;84,5;85,6;86,3;87,8;88;89;91,2
Italy;43,6;63;75,7;76,7;77,5;82;90,6;92,3;94,2;95,8
Cyprus;69,8;78,1;78,1;84;100;100;100;100;100;100
Latvia;56;55;56,4;58,6;63,7;65,7;66,7;67,6;68,3;70,5
Lithuania;49,3;50,1;54,4;62,7;63,6;70,6;84,6;86,7;86,9;88,1
Luxembourg;94,4;94,1;93,2;97,6;97,8;99,7;99,8;97,5;97,3;97,3
Hungary;76,9;78,2;81,7;85,5;86,2;87,6;94,9;95,5;96;96,3
Malta;99,5;99,4;99,9;99,9;100;100;100;100;100;100
Netherlands;98,3;98,3;98,3;98,3;98,3;98,3;98,9;98,9;98,9;99
Austria;65,2;67,3;71,3;72,4;78,8;86,6;93,3;94,8;94,2;95,1
Poland;50,9;50,6;50,2;53;59,6;74,9;77;76;86,9;87,9
Portugal;66,3;67,1;71,7;75,6;83;89,7;92,8;94,9;95,7;96,2
Romania;65,9;66,9;67,9;75,6;82;87;93,7;96,1;95,8;96,6
Slovenia;78,1;81,6;83,2;85,9;86,9;87,6;89,5;90,5;91,9;92,4
Slovakia;53,9;64,3;70;72,4;70,9;74,1;82,3;82,8;97,4;97,3
Finland;66,8;66,7;66;70,6;73;75;77;78;81;83
Sweden;72,6;74,2;77,9;81,9;85,1;87,5;88,9;89,1;90,8;91
Iceland;89,2;91;95,9;95,7;95,6;96,3;98,8;98,8;99,1;99,1
Norway;78,6;82,4;83,8;86;89,3;91;91,7;98,5;99,8;99,8
Switzerland;98,9;98,9;98,9;98,9;99,8;99,8;99,8;99,8;99,8;99,8
United Kingdom;87,9;89;91,8;93;94,8;94,8;95;95,8;97,2;97,6
