Region;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;152,4;150,5;147,8;162,4;179,7;155,4;139,2;181,0;187,4;185,0
Bulgaria;156,4;155,7;167,2;164,5;165,9;131,9;111,9;131,0;148,4;142,8
Czechia;193,7;178,3;168,2;181,2;191,2;170,9;147,2;158,2;157,0;162,2
Denmark;105,7;101,8;106,3;108,9;111,0;98,5;95,3;107,1;106,5;109,1
Germany;1.501,4;1.528,6;1.524,4;1.521,1;1.529,0;1.263,3;1.116,5;1.290,2;1.403,0;1.478,1
Estonia;25,1;25,6;24,7;27,5;28,3;22,8;21,4;20,7;22,3;26,3
Ireland;145,1;153,1;161,3;172,4;173,8;141,6;138,1;164,7;175,1;181,9
Greece;320,6;336,2;345,5;355,9;375,6;336,8;318,0;369,3;372,9;389,6
Spain;1.492,3;1.593,3;1.624,2;1.692,5;1.697,6;1.416,1;1.442,7;1.646,8;1.735,0;1.825,7
France;988,9;1.006,4;1.021,4;1.035,9;1.003,6;981,2;958,0;1.130,0;1.148,4;1.223,7
Croatia;98,5;104,8;113,5;113,1;99,5;88,7;90,2;96,7;94,1;107,5
Italy;1.311,6;1.372,0;1.425,0;1.408,8;1.424,8;1.262,8;1.177,1;1.371,9;1.472,6;1.505,1
Cyprus;28,6;31,8;33,8;34,0;36,3;28,6;28,4;34,9;38,0;39,1
Latvia;30,2;30,2;29,4;31,8;31,0;28,4;25,2;25,6;27,7;30,3
Lithuania;33,7;35,2;33,7;33,2;37,9;32,5;33,7;37,3;36,8;39,7
Luxembourg;9,6;9,2;7,4;10,1;11,0;11,1;9,8;10,5;10,1;9,3
Hungary;186,8;195,9;191,4;180,0;185,7;168,2;168,7;179,3;181,0;178,1
Malta;14,1;16,4;16,0;16,3;18,8;17,4;15,5;19,0;23,8;25,8
Netherlands;344,9;352,5;357,2;382,8;378,4;337,3;374,1;425,7;457,1;458,8
Austria;232,5;253,5;257,9;251,0;262,5;223,3;212,1;246,9;232,0;236,4
Poland;336,5;372,0;379,6;400,5;416,1;365,8;372,6;413,6;405,9;378,4
Portugal;251,6;269,5;312,7;315,9;309,7;282,9;241,0;284,7;316,9;302,1
Romania;185,9;205,2;202,8;220,2;221,6;205,7;195,7;190,6;197,3;209,5
Slovenia;46,3;40,6;44,7;43,0;40,0;33,8;29,1;38,3;41,0;41,7
Slovakia;113,6;113,5;104,8;109,4;106,9;93,9;83,4;89,1;98,9;103,4
Finland;85,4;83,2;83,1;84,6;95,2;76,2;84,0;97,6;95,3;100,6
Sweden;164,7;169,4;171,3;170,5;162,8;137,5;126,1;156,4;155,8;166,2
Iceland;10,9;11,5;10,9;10,9;10,3;9,5;10,1;11,0;11,3;11,6
Norway;76,2;71,2;76,8;89,7;90,9;83,5;84,8;107,3;103,5;100,2
Switzerland;190,9;182,4;190,2;187,0;181,9;174,1;153,9;161,0;168,8;174,0
Serbia;87,4;86,2;93,1;100,6;104,4;91,1;89,1;97,1;97,2;104,5
Türkiye;1.432,0;1.453,2;1.505,9;1.610,6;1.682,1;1.362,3;1.399,6;1.662,8;1.772,2;1.870,0
