region,gender,age_group,children,year,value
Belgium,total,18-64,total,2015,22.3
Bulgaria,total,18-64,total,2015,1.0
Czechia,total,18-64,total,2015,7.6
Denmark,total,18-64,total,2015,29.0
Germany,total,18-64,total,2015,11.3
Estonia,total,18-64,total,2015,13.0
Ireland,total,18-64,total,2015,13.4
Greece,total,18-64,total,2015,5.6
Spain,total,18-64,total,2015,6.4
France,total,18-64,total,2015,19.5
Croatia,total,18-64,total,2015,4.4
Italy,total,18-64,total,2015,4.4
Cyprus,total,18-64,total,2015,2.6
Latvia,total,18-64,total,2015,3.1
Lithuania,total,18-64,total,2015,4.9
Luxembourg,total,18-64,total,2015,33.8
Hungary,total,18-64,total,2015,8.7
Malta,total,18-64,total,2015,5.0
Netherlands,total,18-64,total,2015,35.6
Austria,total,18-64,total,2015,22.3
Poland,total,18-64,total,2015,15.8
Portugal,total,18-64,total,2015,14.2
Romania,total,18-64,total,2015,0.8
Slovenia,total,18-64,total,2015,18.7
Slovakia,total,18-64,total,2015,8.8
Finland,total,18-64,total,2015,26.2
Sweden,total,18-64,total,2015,27.6
Serbia,total,18-64,total,2015,7.1
Türkiye,total,18-64,total,2015,2.8
Belgium,total,18-64,total,2016,22.7
Bulgaria,total,18-64,total,2016,1.1
Czechia,total,18-64,total,2016,8.9
Denmark,total,18-64,total,2016,34.6
Germany,total,18-64,total,2016,11.0
Estonia,total,18-64,total,2016,15.0
Ireland,total,18-64,total,2016,12.8
Greece,total,18-64,total,2016,6.0
Spain,total,18-64,total,2016,6.4
France,total,18-64,total,2016,20.4
Croatia,total,18-64,total,2016,5.5
Italy,total,18-64,total,2016,4.3
Cyprus,total,18-64,total,2016,2.9
Latvia,total,18-64,total,2016,4.2
Lithuania,total,18-64,total,2016,4.9
Luxembourg,total,18-64,total,2016,30.7
Hungary,total,18-64,total,2016,7.2
Malta,total,18-64,total,2016,6.5
Netherlands,total,18-64,total,2016,35.8
Austria,total,18-64,total,2016,22.3
Poland,total,18-64,total,2016,14.7
Portugal,total,18-64,total,2016,14.4
Romania,total,18-64,total,2016,0.8
Slovenia,total,18-64,total,2016,17.5
Slovakia,total,18-64,total,2016,8.3
