Region,cluster_label,urbanisation_degree,education_level,age_class,sex,commute_bin,percentage
Latvia,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_0,0.00
Poland,Mid-HO,Total,ISCED 5–8,50-74,female,percentage_0,4.53
Netherlands,High-HO,Total,ISCED 0–2,15-34,female,percentage_0,2.96
Netherlands,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,5.77
Croatia,Low-HO,Total,ISCED 3–4,15-34,female,percentage_0,8.12
Türkiye,Low-HO,Total,ISCED 0–2,35-49,male,percentage_0,3.31
Lithuania,Low-HO,Total,ISCED 3–4,35-49,male,percentage_0,4.32
Croatia,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_0,10.79
Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_0,11.42
Italy,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_0,1.84
Denmark,High-HO,Total,ISCED 0–2,50-74,female,percentage_0,1.39
Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_0,8.73
Austria,Mid-HO,Rural areas,ISCED 5–8,50-74,female,percentage_0,0.00
Greece,Low-HO,Total,ISCED 5–8,50-74,female,percentage_0,0.00
Germany,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_0,11.74
Hungary,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
Croatia,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,6.87
Lithuania,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,0.00
Romania,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
Netherlands,High-HO,Total,All ISCED 2011 levels,15-34,male,percentage_0,4.17
Hungary,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_0,0.00
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_0,6.75
Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,0.00
Denmark,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Spain,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,3.68
Hungary,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_0,0.80
Latvia,Low-HO,Total,ISCED 3–4,15-34,male,percentage_0,0.00
Lithuania,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_0,0.00
Greece,Low-HO,Total,ISCED 3–4,35-49,male,percentage_0,0.00
Austria,Mid-HO,Rural areas,ISCED 3–4,35-49,female,percentage_0,9.85
Portugal,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,3.70
Italy,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,3.02
France,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,0.00
Ireland,Mid-HO,Rural areas,ISCED 3–4,15-34,female,percentage_0,0.00
Malta,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,0.00
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Czechia,Low-HO,Total,ISCED 3–4,15-34,male,percentage_0,2.76
Hungary,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_0,3.95
Austria,Mid-HO,Rural areas,ISCED 0–2,50-74,female,percentage_0,16.07
Portugal,Mid-HO,Total,ISCED 0–2,15-34,female,percentage_0,0.00
Belgium,High-HO,Total,ISCED 0–2,50-74,female,percentage_0,12.12
Netherlands,High-HO,Cities,ISCED 3–4,50-74,female,percentage_0,7.43
Hungary,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_0,10.60
Slovenia,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_0,1.26
France,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_0,10.75
Finland,High-HO,Total,ISCED 0–2,15-34,female,percentage_0,0.00
Italy,Low-HO,Total,ISCED 5–8,15-34,female,percentage_0,1.79
