Region,0,1-9,1-14,1+,10-14,15-19,15-29,20-29,30-44,30-59,30+,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
European_Union_27_countries_from_2020,6626.0,31718.0,68421.0,243679.0,36702.0,36838.0,86694.0,49856.0,54265.0,69286.0,88564.0,15021.0,19278.0,9174.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_29_countries_from_2013-2020,8591.0,38017.0,82407.0,294342.0,44389.0,43183.0,102439.0,59256.0,65143.0,8428.0,109497.0,19137.0,25216.0,9874.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Euro_area_19_countries_2015-2022,486.0,26456.0,55149.0,185991.0,28693.0,27484.0,65007.0,37523.0,38972.0,50561.0,65835.0,11589.0,15275.0,6742.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Belgium,305.0,719.0,1687.0,6883.0,968.0,1127.0,2572.0,1445.0,1449.0,200.0,2624.0,551.0,624.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Bulgaria,,83.0,531.0,3478.0,448.0,594.0,149.0,896.0,1062.0,1307.0,1457.0,245.0,149.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Czechia,152.0,36.0,1077.0,5237.0,718.0,853.0,1946.0,1093.0,1358.0,1821.0,2215.0,463.0,393.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Denmark,103.0,644.0,1295.0,4399.0,652.0,753.0,1557.0,804.0,906.0,1203.0,1546.0,297.0,344.0,92.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Germany,1343.0,6996.0,13919.0,51787.0,6923.0,7226.0,18033.0,10807.0,12109.0,1562.0,19835.0,3511.0,4215.0,3213.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Estonia,,96.0,254.0,823.0,158.0,147.0,313.0,166.0,18.0,214.0,256.0,,42.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Ireland,71.0,395.0,87.0,3044.0,475.0,393.0,1042.0,649.0,65.0,834.0,1132.0,184.0,297.0,48.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Greece,,421.0,1355.0,3864.0,934.0,77.0,1414.0,643.0,717.0,913.0,1096.0,195.0,184.0,285.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Spain,258.0,3081.0,6743.0,21579.0,3662.0,3062.0,6986.0,3924.0,4421.0,5526.0,785.0,1105.0,2324.0,756.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
France,1325.0,4654.0,9628.0,37622.0,4975.0,5387.0,13944.0,8557.0,8189.0,10901.0,1405.0,2712.0,3149.0,563.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Croatia,84.0,261.0,537.0,205.0,276.0,29.0,758.0,468.0,434.0,568.0,756.0,133.0,188.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Italy,216.0,4044.0,8344.0,20879.0,430.0,3046.0,6412.0,3366.0,3702.0,4457.0,6123.0,755.0,1666.0,668.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Cyprus,81.0,99.0,221.0,655.0,122.0,156.0,317.0,161.0,79.0,105.0,118.0,,,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Latvia,,82.0,199.0,118.0,117.0,12.0,389.0,269.0,369.0,481.0,592.0,112.0,111.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Lithuania,56.0,138.0,377.0,1817.0,239.0,309.0,846.0,537.0,475.0,527.0,594.0,51.0,67.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Luxembourg,,,66.0,338.0,38.0,43.0,122.0,79.0,88.0,117.0,149.0,,,12.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Hungary,89.0,356.0,1125.0,504.0,769.0,548.0,1504.0,956.0,1477.0,1859.0,2411.0,381.0,552.0,119.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Malta,,43.0,103.0,452.0,6.0,67.0,139.0,71.0,117.0,164.0,21.0,47.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Netherlands,623.0,2621.0,5156.0,15042.0,2534.0,2428.0,5131.0,2703.0,2428.0,3484.0,4755.0,1056.0,1271.0,173.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Austria,113.0,1105.0,2071.0,6714.0,966.0,914.0,2281.0,1367.0,1424.0,1892.0,2362.0,468.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Poland,992.0,1632.0,4804.0,20931.0,3172.0,3895.0,8206.0,4311.0,6061.0,6868.0,7921.0,807.0,1052.0,567.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Portugal,11.0,1089.0,2168.0,5702.0,1079.0,968.0,1921.0,953.0,966.0,1238.0,1613.0,272.0,375.0,35.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Romania,226.0,869.0,1716.0,8655.0,847.0,127.0,3241.0,1971.0,2473.0,3195.0,3698.0,722.0,503.0,155.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovenia,75.0,158.0,326.0,1165.0,167.0,196.0,421.0,225.0,265.0,346.0,418.0,81.0,73.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovakia,85.0,134.0,572.0,2814.0,439.0,522.0,1359.0,837.0,601.0,718.0,882.0,118.0,164.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Finland,9.0,553.0,1091.0,3634.0,538.0,601.0,1366.0,765.0,744.0,1026.0,1176.0,282.0,151.0,85.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Sweden,,1058.0,2187.0,7897.0,1129.0,115.0,2984.0,1834.0,1521.0,1904.0,2726.0,383.0,822.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Iceland,,128.0,199.0,325.0,71.0,5.0,82.0,,,36.0,44.0,,,38.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Norway,168.0,81.0,158.0,4383.0,77.0,547.0,136.0,813.0,872.0,1119.0,1443.0,246.0,324.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Switzerland,113.0,932.0,1842.0,727.0,91.0,945.0,2194.0,1249.0,1731.0,2438.0,3235.0,707.0,797.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
United Kingdom,1965.0,6299.0,13986.0,50663.0,7687.0,6345.0,15745.0,940.0,10878.0,14994.0,20933.0,4117.0,5938.0,70.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Türkiye,2612.0,4932.0,10332.0,35795.0,540.0,4514.0,11558.0,7044.0,8886.0,11045.0,13905.0,2159.0,286.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_27_countries_from_2020,39269.0,129257.0,27093.0,846543.0,141673.0,129307.0,295499.0,166192.0,170659.0,219237.0,280113.0,48578.0,60876.0,29468.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_29_countries_from_2013-2020,50933.0,14917.0,312577.0,986635.0,163406.0,147403.0,340534.0,193131.0,198739.0,257337.0,333524.0,58598.0,76187.0,31594.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Euro_area_19_countries_2015-2022,30392.0,107917.0,219721.0,647676.0,111803.0,97262.0,220591.0,123329.0,121851.0,158762.0,207364.0,36911.0,48602.0,21199.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Belgium,1607.0,2508.0,5633.0,20946.0,3125.0,3053.0,7397.0,4344.0,4391.0,6007.0,7916.0,1616.0,1909.0,36.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Bulgaria,214.0,577.0,2796.0,1466.0,2219.0,2652.0,6221.0,3568.0,4132.0,502.0,5643.0,888.0,623.0,114.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Czechia,1156.0,2043.0,5652.0,2216.0,3609.0,3663.0,8398.0,4735.0,5232.0,6764.0,811.0,1532.0,1346.0,15.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Denmark,632.0,1683.0,3527.0,12516.0,1844.0,1939.0,4611.0,2672.0,262.0,3588.0,4378.0,967.0,791.0,288.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Germany,7849.0,27575.0,57199.0,177127.0,29624.0,26604.0,61374.0,3477.0,3549.0,45923.0,58554.0,10432.0,12631.0,10126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Estonia,141.0,426.0,976.0,3082.0,55.0,542.0,1166.0,624.0,631.0,776.0,94.0,145.0,164.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Ireland,512.0,1222.0,2528.0,8812.0,1305.0,1163.0,300.0,1837.0,1829.0,2404.0,3284.0,575.0,88.0,1226.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Greece,141.0,2247.0,6164.0,15525.0,3917.0,290.0,5525.0,2624.0,2514.0,3274.0,3837.0,76.0,563.0,1028.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Spain,2361.0,13931.0,29513.0,85503.0,15583.0,12592.0,27462.0,1487.0,16116.0,20081.0,28528.0,3966.0,8447.0,2416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
France,9404.0,17718.0,35259.0,120292.0,17541.0,17366.0,42848.0,25482.0,24144.0,32926.0,42185.0,8782.0,9259.0,2034.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Croatia,511.0,996.0,1971.0,6921.0,975.0,1324.0,2558.0,1234.0,1395.0,1907.0,2392.0,512.0,485.0,128.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Italy,1647.0,21938.0,41964.0,94887.0,20026.0,14181.0,28647.0,14466.0,14228.0,17503.0,24276.0,3274.0,6773.0,2047.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Cyprus,179.0,298.0,68.0,1792.0,382.0,369.0,786.0,416.0,231.0,291.0,326.0,61.0,,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Latvia,13.0,346.0,816.0,4469.0,469.0,52.0,1401.0,881.0,1286.0,1699.0,2252.0,413.0,553.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Lithuania,229.0,614.0,1617.0,6673.0,1003.0,1208.0,2993.0,1785.0,1655.0,1829.0,2063.0,174.0,234.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Luxembourg,64.0,75.0,164.0,909.0,89.0,108.0,312.0,204.0,246.0,347.0,433.0,101.0,86.0,351.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Hungary,814.0,1703.0,497.0,19132.0,3267.0,2412.0,6007.0,3595.0,4971.0,6297.0,8154.0,1326.0,1857.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Malta,46.0,10.0,258.0,971.0,158.0,147.0,324.0,176.0,212.0,303.0,39.0,91.0,87.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Netherlands,2988.0,6457.0,12575.0,38442.0,6118.0,5747.0,13505.0,7758.0,6703.0,9417.0,12361.0,2714.0,2945.0,467.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Austria,955.0,3971.0,6964.0,19408.0,2993.0,2632.0,617.0,3538.0,3638.0,506.0,6274.0,1422.0,1215.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Poland,3788.0,7405.0,18443.0,68254.0,11038.0,12056.0,26595.0,14539.0,17061.0,19477.0,23217.0,2416.0,374.0,1879.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Portugal,736.0,5176.0,9663.0,22158.0,4487.0,3456.0,6797.0,3341.0,3211.0,4178.0,5698.0,967.0,152.0,1116.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Romania,1157.0,3372.0,7005.0,31676.0,3633.0,4586.0,12064.0,7478.0,879.0,11066.0,12607.0,2276.0,1541.0,5041.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovenia,391.0,594.0,1324.0,4135.0,73.0,718.0,1493.0,774.0,871.0,1078.0,1319.0,207.0,241.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovakia,527.0,967.0,2918.0,10898.0,1951.0,2092.0,5104.0,3011.0,2053.0,2397.0,2877.0,344.0,48.0,151.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Finland,486.0,1754.0,3505.0,11647.0,175.0,1864.0,4291.0,2426.0,2402.0,327.0,3852.0,868.0,581.0,184.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Sweden,605.0,3561.0,6845.0,23548.0,3284.0,3413.0,8455.0,5042.0,4608.0,6357.0,8248.0,1749.0,1891.0,228.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Iceland,,344.0,509.0,822.0,165.0,115.0,218.0,102.0,69.0,82.0,96.0,,,91.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Norway,574.0,2432.0,4608.0,12244.0,2177.0,1714.0,3931.0,2217.0,2161.0,2827.0,3705.0,666.0,878.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Switzerland,1105.0,3572.0,6515.0,20576.0,2943.0,2818.0,6344.0,3526.0,413.0,5724.0,7716.0,1594.0,1992.0,195.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
United Kingdom,11664.0,19913.0,41647.0,140093.0,21734.0,18096.0,45035.0,26939.0,2808.0,3810.0,53411.0,1002.0,15311.0,2126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Türkiye,1046.0,15282.0,28744.0,80135.0,13461.0,10027.0,24794.0,14768.0,1698.0,20962.0,26597.0,3981.0,5636.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_27_countries_from_2020,36489.0,122224.0,258525.0,818452.0,136301.0,12545.0,287268.0,161817.0,166086.0,213293.0,272659.0,47207.0,59367.0,28182.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_29_countries_from_2013-2020,47031.0,140545.0,296637.0,949795.0,156092.0,142165.0,329348.0,187183.0,19291.0,249761.0,32381.0,56852.0,74049.0,30156.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Euro_area_19_countries_2015-2022,2827.0,102191.0,209893.0,625872.0,107702.0,94295.0,214396.0,12010.0,118386.0,154172.0,201583.0,35786.0,47411.0,2037.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Belgium,1547.0,2443.0,549.0,2063.0,3047.0,3008.0,730.0,4292.0,4339.0,5941.0,784.0,1602.0,1899.0,36.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Bulgaria,20.0,554.0,2697.0,1426.0,2143.0,2568.0,6051.0,3483.0,4026.0,4901.0,5511.0,876.0,61.0,107.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Czechia,1092.0,1975.0,5471.0,21539.0,3496.0,3562.0,8187.0,4625.0,5072.0,6564.0,7882.0,1491.0,1318.0,139.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Denmark,57.0,1463.0,3099.0,11656.0,1636.0,1809.0,4359.0,255.0,252.0,3443.0,4198.0,923.0,755.0,261.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Germany,7159.0,25761.0,53969.0,169503.0,28208.0,25495.0,59236.0,33741.0,34088.0,44045.0,56298.0,9958.0,12252.0,9713.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Estonia,114.0,389.0,901.0,2848.0,512.0,51.0,1084.0,574.0,577.0,715.0,863.0,138.0,148.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Ireland,465.0,1123.0,2352.0,8408.0,1229.0,1112.0,2861.0,1749.0,1768.0,2334.0,3195.0,567.0,861.0,1166.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Greece,137.0,2188.0,6016.0,15259.0,3827.0,2844.0,5434.0,259.0,2497.0,3252.0,3809.0,755.0,558.0,974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Spain,2249.0,13648.0,2899.0,84204.0,15342.0,12448.0,27156.0,14708.0,15839.0,1974.0,28058.0,3901.0,8319.0,2335.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
France,902.0,17151.0,34205.0,117366.0,17053.0,17028.0,41863.0,24835.0,23646.0,32181.0,41299.0,8535.0,9118.0,2006.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
