Region,0,1+,30+,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
European_Union_27_countries_from_2020,6626.0,243679.0,88564.0,19278.0,9174.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_29_countries_from_2013-2020,8591.0,294342.0,109497.0,25216.0,9874.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Euro_area_19_countries_2015-2022,486.0,185991.0,65835.0,15275.0,6742.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Belgium,305.0,6883.0,2624.0,624.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Bulgaria,,3478.0,1457.0,149.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Czechia,152.0,5237.0,2215.0,393.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Denmark,103.0,4399.0,1546.0,344.0,92.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Germany,1343.0,51787.0,19835.0,4215.0,3213.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Estonia,,823.0,256.0,42.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Ireland,71.0,3044.0,1132.0,297.0,48.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Greece,,3864.0,1096.0,184.0,285.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Spain,258.0,21579.0,785.0,2324.0,756.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
France,1325.0,37622.0,1405.0,3149.0,563.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Croatia,84.0,205.0,756.0,188.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Italy,216.0,20879.0,6123.0,1666.0,668.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Cyprus,81.0,655.0,118.0,,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Latvia,,118.0,592.0,111.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Lithuania,56.0,1817.0,594.0,67.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Luxembourg,,338.0,149.0,,12.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Hungary,89.0,504.0,2411.0,552.0,119.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Malta,,452.0,21.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Netherlands,623.0,15042.0,4755.0,1271.0,173.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Austria,113.0,6714.0,2362.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Poland,992.0,20931.0,7921.0,1052.0,567.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Portugal,11.0,5702.0,1613.0,375.0,35.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Romania,226.0,8655.0,3698.0,503.0,155.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovenia,75.0,1165.0,418.0,73.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovakia,85.0,2814.0,882.0,164.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Finland,9.0,3634.0,1176.0,151.0,85.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
