Region,education_level,urbanisation_degree,age_class,commuting_time,value,percent
Austria,All ISCED 2011 levels,Total,15-74,0,921.0,4.243555186951413
Austria,All ISCED 2011 levels,Total,15-74,1-9,4002.5,18.4417259888958
Austria,All ISCED 2011 levels,Total,15-74,10-14,2925.5,13.479392724675744
Austria,All ISCED 2011 levels,Total,15-74,15-19,2747.5,12.659248508305112
Austria,All ISCED 2011 levels,Total,15-74,20-29,3708.0,17.084801990462367
Austria,All ISCED 2011 levels,Total,15-74,30-44,4195.0,19.328679706038198
Austria,All ISCED 2011 levels,Total,15-74,45-59,1607.0,7.404335706222499
Austria,All ISCED 2011 levels,Total,15-74,60+,1597.0,7.358260188448868
Belgium,All ISCED 2011 levels,Total,15-74,0,1917.5,7.9801069563227
Belgium,All ISCED 2011 levels,Total,15-74,1-9,2405.5,10.011028570239507
Belgium,All ISCED 2011 levels,Total,15-74,10-14,2924.5,12.170963647335455
Belgium,All ISCED 2011 levels,Total,15-74,15-19,3003.5,12.499739892211332
Belgium,All ISCED 2011 levels,Total,15-74,20-29,4495.0,18.706952160975508
Belgium,All ISCED 2011 levels,Total,15-74,30-44,4813.5,20.032461452025718
Belgium,All ISCED 2011 levels,Total,15-74,45-59,1901.5,7.913519362423789
Belgium,All ISCED 2011 levels,Total,15-74,60+,2567.5,10.685227958465989
Bulgaria,All ISCED 2011 levels,Total,15-74,0,418.0,2.6114391028644612
Bulgaria,All ISCED 2011 levels,Total,15-74,1-9,524.5,3.276793802517727
Bulgaria,All ISCED 2011 levels,Total,15-74,10-14,2285.5,14.27857432917877
Bulgaria,All ISCED 2011 levels,Total,15-74,15-19,2567.5,16.040358604316996
Bulgaria,All ISCED 2011 levels,Total,15-74,20-29,3702.5,23.131227938649925
Bulgaria,All ISCED 2011 levels,Total,15-74,30-44,4757.5,29.72230031549683
Bulgaria,All ISCED 2011 levels,Total,15-74,45-59,1001.0,6.253709430543841
Bulgaria,All ISCED 2011 levels,Total,15-74,60+,750.0,4.68559647643145
Croatia,All ISCED 2011 levels,Total,15-74,0,555.0,6.820695588054566
Croatia,All ISCED 2011 levels,Total,15-74,1-9,1025.0,12.596780140100774
Croatia,All ISCED 2011 levels,Total,15-74,10-14,1143.0,14.046946048912375
Croatia,All ISCED 2011 levels,Total,15-74,15-19,1328.5,16.326656015730613
Croatia,All ISCED 2011 levels,Total,15-74,20-29,1359.0,16.701487034533613
Croatia,All ISCED 2011 levels,Total,15-74,30-44,1680.0,20.646429888165173
Croatia,All ISCED 2011 levels,Total,15-74,45-59,485.5,5.966572446847732
Croatia,All ISCED 2011 levels,Total,15-74,60+,561.0,6.894432837655155
Cyprus,All ISCED 2011 levels,Total,15-74,0,117.0,5.571428571428571
Cyprus,All ISCED 2011 levels,Total,15-74,1-9,293.5,13.976190476190476
Cyprus,All ISCED 2011 levels,Total,15-74,10-14,392.5,18.69047619047619
Cyprus,All ISCED 2011 levels,Total,15-74,15-19,398.0,18.952380952380953
Cyprus,All ISCED 2011 levels,Total,15-74,20-29,486.5,23.166666666666668
Cyprus,All ISCED 2011 levels,Total,15-74,30-44,270.0,12.857142857142858
Cyprus,All ISCED 2011 levels,Total,15-74,45-59,67.5,3.2142857142857144
Cyprus,All ISCED 2011 levels,Total,15-74,60+,75.0,3.5714285714285716
Czechia,All ISCED 2011 levels,Total,15-74,0,1030.5,3.932230553488638
Czechia,All ISCED 2011 levels,Total,15-74,1-9,2204.5,8.412035182111309
Czechia,All ISCED 2011 levels,Total,15-74,10-14,3700.5,14.120542613473756
Czechia,All ISCED 2011 levels,Total,15-74,15-19,3823.5,14.589891820731498
Czechia,All ISCED 2011 levels,Total,15-74,20-29,5139.5,19.611546753667984
Czechia,All ISCED 2011 levels,Total,15-74,30-44,6270.5,23.927269952111118
Czechia,All ISCED 2011 levels,Total,15-74,45-59,1825.0,6.963921164596569
Czechia,All ISCED 2011 levels,Total,15-74,60+,2212.5,8.442561959819129
Denmark,All ISCED 2011 levels,Total,15-74,0,359.5,2.903642678297391
Denmark,All ISCED 2011 levels,Total,15-74,1-9,1820.0,14.699943461755916
Denmark,All ISCED 2011 levels,Total,15-74,10-14,1800.0,14.53840562151684
Denmark,All ISCED 2011 levels,Total,15-74,15-19,1864.0,15.055326710281884
Denmark,All ISCED 2011 levels,Total,15-74,20-29,2642.0,21.33914869558194
Denmark,All ISCED 2011 levels,Total,15-74,30-44,1669.0,13.480332767950893
Denmark,All ISCED 2011 levels,Total,15-74,45-59,1084.0,8.75535094095792
Denmark,All ISCED 2011 levels,Total,15-74,60+,1142.5,9.227849123657217
Estonia,All ISCED 2011 levels,Total,15-74,0,136.5,5.055555555555555
Estonia,All ISCED 2011 levels,Total,15-74,1-9,398.5,14.75925925925926
Estonia,All ISCED 2011 levels,Total,15-74,10-14,293.0,10.851851851851851
Estonia,All ISCED 2011 levels,Total,15-74,15-19,537.0,19.88888888888889
Estonia,All ISCED 2011 levels,Total,15-74,20-29,641.5,23.75925925925926
Estonia,All ISCED 2011 levels,Total,15-74,30-44,348.0,12.88888888888889
Estonia,All ISCED 2011 levels,Total,15-74,45-59,159.5,5.907407407407407
Estonia,All ISCED 2011 levels,Total,15-74,60+,186.0,6.888888888888889
Finland,All ISCED 2011 levels,Total,15-74,0,487.5,4.32410856838744
Finland,All ISCED 2011 levels,Total,15-74,1-9,2025.5,17.96611672875643
Finland,All ISCED 2011 levels,Total,15-74,10-14,953.5,8.457512861451127
Finland,All ISCED 2011 levels,Total,15-74,15-19,1832.5,16.25421323398971
Finland,All ISCED 2011 levels,Total,15-74,20-29,2416.0,21.429838566613448
Finland,All ISCED 2011 levels,Total,15-74,30-44,2442.5,21.66489267340784
Finland,All ISCED 2011 levels,Total,15-74,45-59,473.5,4.199929040269647
Finland,All ISCED 2011 levels,Total,15-74,60+,643.0,5.703388327124357
France,All ISCED 2011 levels,Total,15-74,0,8375.5,7.4120124956858024
France,All ISCED 2011 levels,Total,15-74,1-9,17245.5,15.261639483535253
France,All ISCED 2011 levels,Total,15-74,10-14,9580.5,8.47839361410278
France,All ISCED 2011 levels,Total,15-74,15-19,17649.5,15.619164771369658
France,All ISCED 2011 levels,Total,15-74,20-29,25657.5,22.705953150027877
France,All ISCED 2011 levels,Total,15-74,30-44,13418.5,11.874883848529633
