Region,0,1-9,10-14,15-19,20-29,30-44,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
European_Union_27_countries_from_2020,6626.0,31718.0,36702.0,36838.0,49856.0,54265.0,15021.0,19278.0,9174.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_29_countries_from_2013-2020,8591.0,38017.0,44389.0,43183.0,59256.0,65143.0,19137.0,25216.0,9874.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Euro_area_19_countries_2015-2022,486.0,26456.0,28693.0,27484.0,37523.0,38972.0,11589.0,15275.0,6742.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Belgium,305.0,719.0,968.0,1127.0,1445.0,1449.0,551.0,624.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Bulgaria,,83.0,448.0,594.0,896.0,1062.0,245.0,149.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Czechia,152.0,36.0,718.0,853.0,1093.0,1358.0,463.0,393.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Denmark,103.0,644.0,652.0,753.0,804.0,906.0,297.0,344.0,92.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Germany,1343.0,6996.0,6923.0,7226.0,10807.0,12109.0,3511.0,4215.0,3213.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Estonia,,96.0,158.0,147.0,166.0,18.0,,42.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Ireland,71.0,395.0,475.0,393.0,649.0,65.0,184.0,297.0,48.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Greece,,421.0,934.0,77.0,643.0,717.0,195.0,184.0,285.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Spain,258.0,3081.0,3662.0,3062.0,3924.0,4421.0,1105.0,2324.0,756.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
France,1325.0,4654.0,4975.0,5387.0,8557.0,8189.0,2712.0,3149.0,563.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Croatia,84.0,261.0,276.0,29.0,468.0,434.0,133.0,188.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Italy,216.0,4044.0,430.0,3046.0,3366.0,3702.0,755.0,1666.0,668.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Cyprus,81.0,99.0,122.0,156.0,161.0,79.0,,,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Latvia,,82.0,117.0,12.0,269.0,369.0,112.0,111.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Lithuania,56.0,138.0,239.0,309.0,537.0,475.0,51.0,67.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Luxembourg,,,38.0,43.0,79.0,88.0,,,12.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Hungary,89.0,356.0,769.0,548.0,956.0,1477.0,381.0,552.0,119.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Malta,,43.0,6.0,67.0,71.0,117.0,47.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Netherlands,623.0,2621.0,2534.0,2428.0,2703.0,2428.0,1056.0,1271.0,173.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Austria,113.0,1105.0,966.0,914.0,1367.0,1424.0,468.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Poland,992.0,1632.0,3172.0,3895.0,4311.0,6061.0,807.0,1052.0,567.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Portugal,11.0,1089.0,1079.0,968.0,953.0,966.0,272.0,375.0,35.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Romania,226.0,869.0,847.0,127.0,1971.0,2473.0,722.0,503.0,155.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovenia,75.0,158.0,167.0,196.0,225.0,265.0,81.0,73.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovakia,85.0,134.0,439.0,522.0,837.0,601.0,118.0,164.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Finland,9.0,553.0,538.0,601.0,765.0,744.0,282.0,151.0,85.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Sweden,,1058.0,1129.0,115.0,1834.0,1521.0,383.0,822.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Iceland,,128.0,71.0,5.0,,,,,38.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Norway,168.0,81.0,77.0,547.0,813.0,872.0,246.0,324.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Switzerland,113.0,932.0,91.0,945.0,1249.0,1731.0,707.0,797.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
United Kingdom,1965.0,6299.0,7687.0,6345.0,940.0,10878.0,4117.0,5938.0,70.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Türkiye,2612.0,4932.0,540.0,4514.0,7044.0,8886.0,2159.0,286.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_27_countries_from_2020,39269.0,129257.0,141673.0,129307.0,166192.0,170659.0,48578.0,60876.0,29468.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_29_countries_from_2013-2020,50933.0,14917.0,163406.0,147403.0,193131.0,198739.0,58598.0,76187.0,31594.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Euro_area_19_countries_2015-2022,30392.0,107917.0,111803.0,97262.0,123329.0,121851.0,36911.0,48602.0,21199.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Belgium,1607.0,2508.0,3125.0,3053.0,4344.0,4391.0,1616.0,1909.0,36.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Bulgaria,214.0,577.0,2219.0,2652.0,3568.0,4132.0,888.0,623.0,114.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Czechia,1156.0,2043.0,3609.0,3663.0,4735.0,5232.0,1532.0,1346.0,15.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Denmark,632.0,1683.0,1844.0,1939.0,2672.0,262.0,967.0,791.0,288.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Germany,7849.0,27575.0,29624.0,26604.0,3477.0,3549.0,10432.0,12631.0,10126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Estonia,141.0,426.0,55.0,542.0,624.0,631.0,145.0,164.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Ireland,512.0,1222.0,1305.0,1163.0,1837.0,1829.0,575.0,88.0,1226.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Greece,141.0,2247.0,3917.0,290.0,2624.0,2514.0,76.0,563.0,1028.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Spain,2361.0,13931.0,15583.0,12592.0,1487.0,16116.0,3966.0,8447.0,2416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
France,9404.0,17718.0,17541.0,17366.0,25482.0,24144.0,8782.0,9259.0,2034.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Croatia,511.0,996.0,975.0,1324.0,1234.0,1395.0,512.0,485.0,128.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Italy,1647.0,21938.0,20026.0,14181.0,14466.0,14228.0,3274.0,6773.0,2047.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Cyprus,179.0,298.0,382.0,369.0,416.0,231.0,61.0,,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Latvia,13.0,346.0,469.0,52.0,881.0,1286.0,413.0,553.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Lithuania,229.0,614.0,1003.0,1208.0,1785.0,1655.0,174.0,234.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Luxembourg,64.0,75.0,89.0,108.0,204.0,246.0,101.0,86.0,351.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Hungary,814.0,1703.0,3267.0,2412.0,3595.0,4971.0,1326.0,1857.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Malta,46.0,10.0,158.0,147.0,176.0,212.0,91.0,87.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
