Region,0,1-14,15-29,30-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
European_Union_27_countries_from_2020,6626.0,68421.0,86694.0,69286.0,19278.0,9174.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_29_countries_from_2013-2020,8591.0,82407.0,102439.0,8428.0,25216.0,9874.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Euro_area_19_countries_2015-2022,486.0,55149.0,65007.0,50561.0,15275.0,6742.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Belgium,305.0,1687.0,2572.0,200.0,624.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Bulgaria,,531.0,149.0,1307.0,149.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Czechia,152.0,1077.0,1946.0,1821.0,393.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Denmark,103.0,1295.0,1557.0,1203.0,344.0,92.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Germany,1343.0,13919.0,18033.0,1562.0,4215.0,3213.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Estonia,,254.0,313.0,214.0,42.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Ireland,71.0,87.0,1042.0,834.0,297.0,48.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Greece,,1355.0,1414.0,913.0,184.0,285.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Spain,258.0,6743.0,6986.0,5526.0,2324.0,756.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
France,1325.0,9628.0,13944.0,10901.0,3149.0,563.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Croatia,84.0,537.0,758.0,568.0,188.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Italy,216.0,8344.0,6412.0,4457.0,1666.0,668.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Cyprus,81.0,221.0,317.0,105.0,,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Latvia,,199.0,389.0,481.0,111.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Lithuania,56.0,377.0,846.0,527.0,67.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Luxembourg,,66.0,122.0,117.0,,12.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Hungary,89.0,1125.0,1504.0,1859.0,552.0,119.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Malta,,103.0,139.0,164.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Netherlands,623.0,5156.0,5131.0,3484.0,1271.0,173.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Austria,113.0,2071.0,2281.0,1892.0,47.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Poland,992.0,4804.0,8206.0,6868.0,1052.0,567.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Portugal,11.0,2168.0,1921.0,1238.0,375.0,35.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Romania,226.0,1716.0,3241.0,3195.0,503.0,155.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovenia,75.0,326.0,421.0,346.0,73.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Slovakia,85.0,572.0,1359.0,718.0,164.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Finland,9.0,1091.0,1366.0,1026.0,151.0,85.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Sweden,,2187.0,2984.0,1904.0,822.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Iceland,,199.0,82.0,36.0,,38.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Norway,168.0,158.0,136.0,1119.0,324.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Switzerland,113.0,1842.0,2194.0,2438.0,797.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
United Kingdom,1965.0,13986.0,15745.0,14994.0,5938.0,70.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Türkiye,2612.0,10332.0,11558.0,11045.0,286.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_27_countries_from_2020,39269.0,27093.0,295499.0,219237.0,60876.0,29468.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_29_countries_from_2013-2020,50933.0,312577.0,340534.0,257337.0,76187.0,31594.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Euro_area_19_countries_2015-2022,30392.0,219721.0,220591.0,158762.0,48602.0,21199.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Belgium,1607.0,5633.0,7397.0,6007.0,1909.0,36.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Bulgaria,214.0,2796.0,6221.0,502.0,623.0,114.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Czechia,1156.0,5652.0,8398.0,6764.0,1346.0,15.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Denmark,632.0,3527.0,4611.0,3588.0,791.0,288.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Germany,7849.0,57199.0,61374.0,45923.0,12631.0,10126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Estonia,141.0,976.0,1166.0,776.0,164.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Ireland,512.0,2528.0,300.0,2404.0,88.0,1226.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Greece,141.0,6164.0,5525.0,3274.0,563.0,1028.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Spain,2361.0,29513.0,27462.0,20081.0,8447.0,2416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
France,9404.0,35259.0,42848.0,32926.0,9259.0,2034.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Croatia,511.0,1971.0,2558.0,1907.0,485.0,128.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Italy,1647.0,41964.0,28647.0,17503.0,6773.0,2047.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Cyprus,179.0,68.0,786.0,291.0,,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Latvia,13.0,816.0,1401.0,1699.0,553.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Lithuania,229.0,1617.0,2993.0,1829.0,234.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Luxembourg,64.0,164.0,312.0,347.0,86.0,351.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Hungary,814.0,497.0,6007.0,6297.0,1857.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Malta,46.0,258.0,324.0,303.0,87.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Netherlands,2988.0,12575.0,13505.0,9417.0,2945.0,467.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Austria,955.0,6964.0,617.0,506.0,1215.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Poland,3788.0,18443.0,26595.0,19477.0,374.0,1879.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Portugal,736.0,9663.0,6797.0,4178.0,152.0,1116.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Romania,1157.0,7005.0,12064.0,11066.0,1541.0,5041.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovenia,391.0,1324.0,1493.0,1078.0,241.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
