Region;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;140,6;140,2;154,1;158,7;162,5;173,5;211,9;216,7;202,2;204,5
Bulgaria;86,5;87,3;90,7;97,7;90,4;88,0;93,2;110,5;121,6;123,8
Czechia;139,7;146,1;147,4;167,3;167,2;177,2;207,4;192,1;185,5;194,1
Denmark;111,5;115,2;104,2;101,2;112,5;112,2;120,1;125,6;129,3;121,2
Germany;1.171,6;1.229,0;1.235,8;1.288,2;1.334,3;1.600,1;1.526,0;1.601,0;1.661,3;1.695,5
Estonia;24,2;27,2;28,0;27,6;30,4;29,2;31,5;36,0;35,9;39,4
Ireland;100,9;107,0;114,4;116,8;122,7;131,8;151,6;165,9;171,3;180,6
Greece;72,6;80,4;86,9;96,6;102,0;99,0;101,8;106,7;105,3;105,8
Spain;528,4;543,9;582,7;583,3;600,6;609,8;662,6;732,9;747,8;825,6
France;741,7;737,5;783,5;817,4;866,3;925,0;972,0;965,8;1.002,5;1.021,2
Croatia;41,5;48,7;42,7;52,5;54,0;52,1;44,9;55,2;62,0;73,6
Italy;556,3;554,7;558,9;589,7;604,0;605,0;647,4;678,8;763,0;748,1
Cyprus;9,3;9,7;10,7;11,7;11,1;12,9;15,3;19,0;26,9;25,7
Latvia;25,7;23,6;28,0;28,5;25,2;30,5;35,3;42,0;41,3;43,4
Lithuania;26,7;28,3;27,6;31,9;36,2;38,7;49,9;55,9;61,2;69,6
Luxembourg;9,0;8,1;9,6;11,4;11,7;10,8;13,2;16,2;15,8;14,9
Hungary;101,6;117,2;107,7;114,0;128,5;141,4;166,1;166,7;175,4;175,8
Malta;7,6;7,9;8,1;9,1;9,7;9,7;10,1;12,5;14,8;15,5
Netherlands;252,4;269,1;270,2;279,5;294,9;304,0;403,4;423,7;427,0;424,0
Austria;115,3;130,7;132,5;131,0;127,4;126,8;136,0;157,5;159,4;156,0
Poland;366,2;356,0;374,1;405,4;460,9;476,7;518,1;524,8;630,8;665,7
Portugal;103,9;111,5;114,4;123,0;138,1;146,6;167,8;188,2;188,8;204,2
Romania;171,9;167,0;185,3;184,5;177,5;190,8;198,1;201,3;181,5;206,4
Slovenia;33,4;30,3;33,3;32,6;33,4;38,3;37,3;35,9;30,6;34,9
Slovakia;65,0;66,6;66,4;67,1;75,1;92,1;104,7;106,3;97,2;110,4
Finland;104,3;99,5;104,6;113,8;122,5;129,4;125,8;133,6;137,8;139,3
Sweden;197,7;204,0;220,4;234,8;252,1;266,2;283,5;306,6;312,6;297,6
Iceland;9,2;9,8;9,8;9,1;8,5;9,3;8,7;9,6;10,7;10,5
Norway;98,1;96,0;99,3;100,2;104,5;108,2;113,2;118,7;127,3;124,5
Switzerland;143,2;150,8;149,9;158,0;168,1;174,9;164,2;167,4;169,8;174,9
United Kingdom;1.237,7;1.240,7;1.265,5;1.274,2;1.358,7;:;:;:;:;:
Bosnia and Herzegovina;:;:;:;:;:;:;23,0;30,5;36,9;37,3
Montenegro;4,9;4,5;5,3;4,9;5,3;5,0;:;:;:;:
North Macedonia;14,5;13,6;13,6;13,0;15,3;18,5;:;:;:;:
Serbia;59,8;61,2;66,0;71,7;77,5;90,0;108,6;109,0;121,4;124,4
Türkiye;252,4;247,7;255,9;229,3;233,6;239,9;248,0;282,0;311,2;347,4
