"region","gender","age_group","children","cluster","year","home_office_percent","cluster_label"
Belgium,total,"18-24",total,1,2015,8.9,High-HO
Czechia,total,"18-24",total,2,2015,2.7,Low-HO
Denmark,total,"18-24",total,1,2015,5.8,High-HO
Germany,total,"18-24",total,0,2015,2.9,Mid-HO
Estonia,total,"18-24",total,0,2015,6.7,Mid-HO
Ireland,total,"18-24",total,0,2015,4.2,Mid-HO
Greece,total,"18-24",total,2,2015,2.6,Low-HO
Spain,total,"18-24",total,2,2015,1.8,Low-HO
France,total,"18-24",total,0,2015,5.3,Mid-HO
Croatia,total,"18-24",total,2,2015,1.2,Low-HO
Italy,total,"18-24",total,2,2015,1.9,Low-HO
Latvia,total,"18-24",total,2,2015,2.3,Low-HO
Lithuania,total,"18-24",total,2,2015,2.7,Low-HO
Luxembourg,total,"18-24",total,1,2015,35.1,High-HO
Hungary,total,"18-24",total,2,2015,2.1,Low-HO
Malta,total,"18-24",total,0,2015,1.6,Mid-HO
Netherlands,total,"18-24",total,1,2015,10.1,High-HO
Austria,total,"18-24",total,0,2015,9.6,Mid-HO
Poland,total,"18-24",total,0,2015,7.1,Mid-HO
Portugal,total,"18-24",total,0,2015,4.8,Mid-HO
Slovenia,total,"18-24",total,0,2015,5.3,Mid-HO
Slovakia,total,"18-24",total,2,2015,3.7,Low-HO
Finland,total,"18-24",total,1,2015,6.0,High-HO
Sweden,total,"18-24",total,1,2015,6.8,High-HO
Serbia,total,"18-24",total,2,2015,4.9,Low-HO
Türkiye,total,"18-24",total,2,2015,1.3,Low-HO
Belgium,total,"18-24","0",1,2015,10.0,High-HO
Czechia,total,"18-24","0",2,2015,2.9,Low-HO
Denmark,total,"18-24","0",1,2015,6.6,High-HO
Germany,total,"18-24","0",0,2015,3.2,Mid-HO
Estonia,total,"18-24","0",0,2015,7.8,Mid-HO
Ireland,total,"18-24","0",0,2015,4.7,Mid-HO
Greece,total,"18-24","0",2,2015,2.7,Low-HO
Spain,total,"18-24","0",2,2015,1.7,Low-HO
France,total,"18-24","0",0,2015,5.9,Mid-HO
Croatia,total,"18-24","0",2,2015,2.7,Low-HO
Italy,total,"18-24","0",2,2015,2.0,Low-HO
Lithuania,total,"18-24","0",2,2015,2.3,Low-HO
Luxembourg,total,"18-24","0",1,2015,36.8,High-HO
Hungary,total,"18-24","0",2,2015,2.4,Low-HO
Malta,total,"18-24","0",0,2015,2.6,Mid-HO
Netherlands,total,"18-24","0",1,2015,11.5,High-HO
Austria,total,"18-24","0",0,2015,9.7,Mid-HO
Poland,total,"18-24","0",0,2015,7.5,Mid-HO
Portugal,total,"18-24","0",0,2015,5.0,Mid-HO
Slovenia,total,"18-24","0",0,2015,5.0,Mid-HO
Slovakia,total,"18-24","0",2,2015,4.5,Low-HO
Finland,total,"18-24","0",1,2015,6.1,High-HO
Sweden,total,"18-24","0",1,2015,7.0,High-HO
Serbia,total,"18-24","0",2,2015,3.9,Low-HO
Türkiye,total,"18-24","0",2,2015,0.9,Low-HO
Czechia,total,"18-24","1",2,2015,2.2,Low-HO
Germany,total,"18-24","1",0,2015,1.5,Mid-HO
Spain,total,"18-24","1",2,2015,1.4,Low-HO
Italy,total,"18-24","1",2,2015,1.8,Low-HO
Netherlands,total,"18-24","1",1,2015,6.2,High-HO
Austria,total,"18-24","1",0,2015,8.3,Mid-HO
Poland,total,"18-24","1",0,2015,6.5,Mid-HO
Serbia,total,"18-24","1",2,2015,4.6,Low-HO
Türkiye,total,"18-24","1",2,2015,1.5,Low-HO
Netherlands,total,"18-24","2",1,2015,4.8,High-HO
Türkiye,total,"18-24","2",2,2015,1.5,Low-HO
Türkiye,total,"18-24","3+",2,2015,1.7,Low-HO
Belgium,total,"18-64",total,1,2015,22.3,High-HO
Bulgaria,total,"18-64",total,2,2015,1.0,Low-HO
Czechia,total,"18-64",total,2,2015,7.6,Low-HO
Denmark,total,"18-64",total,1,2015,29.0,High-HO
Germany,total,"18-64",total,0,2015,11.3,Mid-HO
Estonia,total,"18-64",total,0,2015,13.0,Mid-HO
Ireland,total,"18-64",total,0,2015,13.4,Mid-HO
Greece,total,"18-64",total,2,2015,5.6,Low-HO
Spain,total,"18-64",total,2,2015,6.4,Low-HO
France,total,"18-64",total,0,2015,19.5,Mid-HO
Croatia,total,"18-64",total,2,2015,4.4,Low-HO
Italy,total,"18-64",total,2,2015,4.4,Low-HO
Cyprus,total,"18-64",total,2,2015,2.6,Low-HO
Latvia,total,"18-64",total,2,2015,3.1,Low-HO
Lithuania,total,"18-64",total,2,2015,4.9,Low-HO
Luxembourg,total,"18-64",total,1,2015,33.8,High-HO
Hungary,total,"18-64",total,2,2015,8.7,Low-HO
